Filename,x,y,w,h,W,H
ce0a295c2ca421c9b6a57966ef92a0d2.jpg,411.0,105.0,41.0,54.0,770.0,512.0
761a4c8e8c2ed4af9e462578e970e410.jpg,130.0,278.0,17.0,21.0,773.0,512.0
eed84f05f3a3d21921c43a78117427e0.jpg,386.0,280.0,19.0,21.0,649.0,512.0
1972ebd4494e0128a65146b5054aac28.jpg,249.0,175.0,16.0,22.0,683.0,512.0
6be2d2f0fbc0939365473320f015ec82.jpg,48.0,125.0,24.0,26.0,625.0,512.0
f0eace0a0edb3fc943058ca234aa950b.jpg,421.0,300.0,22.0,30.0,512.0,683.0
65f16912051f1432e779c915ebdc0ea8.jpg,307.0,228.0,17.0,21.0,760.0,512.0
a0f8d20e81470c95281e36fd6ac08e7d.jpg,542.0,188.0,21.0,30.0,1024.0,505.0
761f8dccaa2a611a3d058919831349ce.jpg,304.0,73.0,16.0,21.0,683.0,512.0
1ba8d045734e325522878dbb20ea85e0.jpg,36.0,429.0,35.0,49.0,512.0,683.0
71d155a5ba20ce8c3bfc197ced039434.jpg,60.0,273.0,24.0,33.0,512.0,683.0
d69e8a94d2a282b95cd69e04481a6065.jpg,468.0,131.0,28.0,38.0,683.0,512.0
53201b4c37caa3eedaa556d9d8f5ff81.jpg,171.0,578.0,20.0,22.0,512.0,775.0
9be8816b4ddedcaa704b9a922473dfbf.jpg,115.0,528.0,17.0,21.0,512.0,772.0
43e7bb7958fd81f90aa5537f93cd5c2e.jpg,588.0,325.0,17.0,22.0,769.0,512.0
ecf3769ad6504fe3617022f82fd1a651.jpg,251.0,136.0,44.0,51.0,880.0,512.0
6e4a5a9c08a6e60b05088fe0d2f61075.jpg,193.0,655.0,20.0,28.0,512.0,768.0
bad4c43e6469b389dc2de9d3090b7311.jpg,234.0,157.0,18.0,24.0,683.0,512.0
d80af584acd114bead49aec67376f505.jpg,557.0,168.0,19.0,23.0,772.0,512.0
6ccb8d6d31ac684ee7fb071cc1f5b305.jpg,345.0,650.0,21.0,33.0,512.0,712.0
6650bf9af7f5ef0a23179ee1c7ae68c3.jpg,559.0,417.0,19.0,17.0,683.0,512.0
3fe38d2ff9c99db85c74a11b31d4d342.jpg,530.0,179.0,27.0,32.0,774.0,512.0
6da930ecc5c06305856489d650244eef.jpg,100.0,354.0,19.0,23.0,512.0,768.0
15f1628dc2f554992244229cd30474c3.jpg,580.0,310.0,15.0,17.0,640.0,480.0
4bb00079639e1059decea67570d5712e.jpg,27.0,138.0,49.0,57.0,683.0,512.0
a38b9c5cb3484fcd460efc6c11413d1b.jpg,69.0,18.0,26.0,33.0,640.0,480.0
140143e50e968ee948ee322b249a1714.jpg,190.0,286.0,42.0,61.0,683.0,512.0
a057e9e3401071ec709604fc987b184a.jpg,57.0,167.0,36.0,43.0,512.0,782.0
7b70ae2e80ddc43cb11a15151814a1b1.jpg,395.0,136.0,22.0,29.0,512.0,771.0
fd4efc68057b8d7db0479098986f459a.jpg,356.0,138.0,23.0,34.0,512.0,767.0
fa77350967d649b3652501de5bdbbf2b.jpg,39.0,59.0,26.0,22.0,683.0,512.0
87933ee518030665e36d507cc15d91dd.jpg,642.0,77.0,23.0,25.0,683.0,512.0
258bec4cf12a213fb82587154137731f.jpg,453.0,310.0,27.0,26.0,683.0,512.0
a41338dd0f81f53dc7ca86bd44d02020.jpg,131.0,271.0,17.0,21.0,768.0,512.0
e513dcf5e5500783f8ca7d9eea508e0a.jpg,27.0,169.0,18.0,21.0,686.0,512.0
247b1bf8c1cf42ee91b4879ad6e02ad6.jpg,92.0,429.0,22.0,28.0,683.0,512.0
2a34f69c8c6e252e2535d073d4b6a31b.jpg,140.0,212.0,20.0,27.0,683.0,512.0
d2558b868c6be29a7752ae8587ed0fe5.jpg,450.0,208.0,30.0,37.0,683.0,512.0
fdb45e90e6c773a5c96865a4fc90102c.jpg,338.0,112.0,31.0,36.0,480.0,640.0
627cb2a5be0bb050aede87277a6e0345.jpg,548.0,241.0,16.0,21.0,640.0,480.0
e557de05e4a58f4d7eaf4a2fd312fe9e.jpg,563.0,277.0,21.0,28.0,768.0,512.0
fdc99e2e13010ac6e73a1fad4a01c226.jpg,531.0,123.0,24.0,32.0,683.0,512.0
1f66677b7be9a8acf4306e7cd75431a0.jpg,317.0,403.0,18.0,24.0,683.0,512.0
ed66ddaa197e954a139a53bc6e7eb4aa.jpg,400.0,17.0,25.0,33.0,512.0,683.0
dc00612aec105b7da251bb29dad9708d.jpg,124.0,335.0,31.0,38.0,683.0,512.0
9fdcd4d90e376734a00f89cd3a233d49.jpg,96.0,203.0,27.0,32.0,683.0,512.0
cc692bbc858afb9d9159bd32b5068095.jpg,496.0,191.0,21.0,28.0,683.0,512.0
b5459e3497a39e53270672f1e22d475e.jpg,183.0,203.0,17.0,21.0,712.0,512.0
5008537ae309413f948990a4a652c7f7.jpg,555.0,203.0,23.0,28.0,883.0,512.0
f21884f7ec02d765a7c54007a58ea190.jpg,272.0,280.0,20.0,23.0,686.0,512.0
ec5809c6d10f9cd672c0552091923f4f.jpg,171.0,114.0,17.0,23.0,512.0,683.0
d635f54f38063b3937262331210714b1.jpg,444.0,22.0,31.0,37.0,512.0,683.0
da7275e0a15db4bb09a9e86b82829e09.jpg,618.0,80.0,22.0,26.0,683.0,512.0
868c4e220c8b2453d4d23bd733caa8a2.jpg,131.0,453.0,25.0,32.0,768.0,512.0
6929c867932cb634be917445a304b160.jpg,202.0,128.0,26.0,34.0,683.0,512.0
dd34b22ff044583cc992ad0cf8c061e4.jpg,173.0,245.0,29.0,43.0,512.0,683.0
dca4524b01db6f6a33e210f45d60afa4.jpg,225.0,91.0,45.0,61.0,683.0,512.0
f5b26785a1e0b1810f11462f4a1da1be.jpg,451.0,149.0,23.0,30.0,512.0,683.0
2ec15f753422f65e3815acf94daaaf8d.jpg,592.0,326.0,18.0,24.0,683.0,512.0
5d1d878ad01e4d84e8d1ee141b7f696a.jpg,220.0,100.0,23.0,29.0,772.0,512.0
ec99c2620f6777323059560c0b71f5ad.jpg,379.0,55.0,52.0,64.0,768.0,512.0
360efaa5641ef51e8e4e235f81274757.jpg,780.0,84.0,27.0,37.0,880.0,512.0
db950d83637a560cb5bf081870706b11.jpg,606.0,201.0,30.0,38.0,686.0,512.0
14492ba8c72be8c92a30877d245435f0.jpg,585.0,197.0,19.0,22.0,683.0,512.0
386ec504f59a8b09487b308ab1b0fd3a.jpg,556.0,291.0,21.0,28.0,911.0,512.0
7ed9b13da6cd4bd0def93aaef3c6c7ba.jpg,119.0,260.0,17.0,23.0,772.0,512.0
2525f297b2bc135ddb101a51ccd11f1b.jpg,217.0,198.0,18.0,24.0,724.0,512.0
9f4c0177b48e0065cd165c3647721a4c.jpg,219.0,73.0,19.0,23.0,683.0,512.0
92e4ab598fe9b2eac2712039f903d5f4.jpg,530.0,158.0,29.0,44.0,769.0,512.0
2a7ae641613969e9309b1d92e4ffc4fd.jpg,129.0,166.0,22.0,32.0,640.0,480.0
b011bac9eb8ad600edc29f61120b4321.jpg,294.0,198.0,18.0,23.0,703.0,512.0
31c8a2710b1efbe5246539608a13c8c5.jpg,539.0,116.0,20.0,31.0,645.0,512.0
6c07f778fb609b2140796bfd4df655d1.jpg,497.0,29.0,24.0,22.0,640.0,480.0
100451082d31f15f293004060d663993.jpg,999.0,266.0,48.0,52.0,1765.0,512.0
45637cdf3c6f8e684ae1c035f1095644.jpg,57.0,71.0,47.0,54.0,771.0,512.0
b603497d63153a9fffa36f586c97646d.jpg,127.0,290.0,22.0,27.0,768.0,512.0
78eb899a5ee3f780cf67f33c66ee3bcf.jpg,598.0,397.0,20.0,23.0,683.0,512.0
0729b5e1a08fecfc3bcd0125e7e18230.jpg,171.0,432.0,35.0,41.0,683.0,512.0
90b699b654b53dfd2810a15e0cb07c01.jpg,329.0,34.0,26.0,38.0,768.0,512.0
b7d6b10d1c3ffd2774d9b5fe0992f342.jpg,389.0,194.0,17.0,20.0,683.0,512.0
a4505b21e8bfe47d12cd445496e5f006.jpg,383.0,49.0,28.0,33.0,512.0,683.0
7659f0b9bc12833d1ba0bc64be3972a0.jpg,346.0,600.0,21.0,25.0,512.0,759.0
a997a594506590fe0d5b0d31a11bb150.jpg,20.0,188.0,18.0,23.0,683.0,512.0
5aa8dcd77d77725389f33e6dfc8474d3.jpg,526.0,402.0,16.0,20.0,640.0,480.0
e010839efb5f3c94023afead82b09b63.jpg,579.0,150.0,18.0,25.0,683.0,512.0
b84a170a601ffde2d4735d0cfd8ea383.jpg,517.0,258.0,17.0,21.0,619.0,512.0
eb0532fc62614878f0eb4d405dca9c4d.jpg,690.0,149.0,23.0,31.0,829.0,512.0
d3bac9dc819fba74a7316d52093dbb5c.jpg,59.0,256.0,18.0,23.0,652.0,512.0
7fd9e2e0ec41b562d6ce84652a92f185.jpg,161.0,139.0,25.0,30.0,740.0,492.0
23c6742a0b062372d7bae04c38f4b86d.jpg,364.0,258.0,17.0,22.0,769.0,512.0
3b235bd00567ef07c1c3df409ec4c38d.jpg,324.0,474.0,36.0,46.0,480.0,640.0
f37f3aa2eb3369f47df3569de0e75fa2.jpg,380.0,82.0,33.0,38.0,777.0,512.0
4b4d609458d8306585193ec63565e313.jpg,371.0,44.0,24.0,29.0,765.0,512.0
a8f69c67f5ddabb282750770df8da120.jpg,529.0,166.0,16.0,17.0,629.0,483.0
f67661b947657f05593477b62c5539d8.jpg,58.0,223.0,16.0,21.0,683.0,512.0
7e0b48f4d44772538844a3cc822103fe.jpg,222.0,201.0,27.0,37.0,512.0,683.0
386f2779c38a55522be5a361837e44dc.jpg,163.0,196.0,32.0,44.0,751.0,510.0
9e62f65f192b4c2f325486a995c2f066.jpg,311.0,395.0,17.0,21.0,837.0,512.0
dca10630fa93a6411698e4339d4afd53.jpg,482.0,178.0,21.0,30.0,789.0,512.0
37f96bec9ca889de7c57ccc6201d0c07.jpg,595.0,266.0,23.0,27.0,911.0,512.0
8cf0fe20f5c0b117e0e7a828164998f6.jpg,72.0,274.0,30.0,42.0,512.0,683.0
c75e37eebce89bac2a7586ed4fc1a2b6.jpg,800.0,298.0,23.0,32.0,911.0,512.0
533c0d7bc2c34396c97c29b2322a36de.jpg,446.0,234.0,18.0,19.0,770.0,512.0
faa4628fa2293afc1fbbc827a47be7af.jpg,413.0,220.0,17.0,20.0,683.0,512.0
bb8913a6eae821cbf2e5ed1c6fc28f26.jpg,711.0,317.0,17.0,22.0,769.0,512.0
2e16c91e0fbd28b0bceaa07211d84900.jpg,312.0,401.0,36.0,47.0,512.0,683.0
ff6f96517885e557ce1307323ae4e5b7.jpg,225.0,206.0,18.0,21.0,778.0,504.0
6c50e9b4b1235fad5acd04eff8b8c696.jpg,546.0,280.0,17.0,19.0,648.0,486.0
c749da3f205c6e3acd37a84162238b86.jpg,159.0,297.0,17.0,22.0,683.0,512.0
fcfb6067131a6386614a466dfc7de0d7.jpg,280.0,505.0,38.0,47.0,512.0,818.0
bcd50e0452fbdb013dbedce7dca6b6eb.jpg,161.0,228.0,17.0,19.0,649.0,512.0
918d7d5c1b8724f2bc0e636907f4638b.jpg,303.0,133.0,35.0,35.0,770.0,512.0
d8d0b87f0682de8ff46fd98bbc35554a.jpg,126.0,284.0,32.0,47.0,512.0,768.0
695a3caeaec913621ac6c65d75e329ad.jpg,326.0,414.0,32.0,43.0,780.0,512.0
951bf0a0c69dbf8fbd49b71ea8dbe5ff.jpg,47.0,225.0,16.0,19.0,683.0,512.0
f1d3665ceb2fc8a132c40da539c7d00b.jpg,320.0,33.0,45.0,55.0,675.0,512.0
b4428f98cf112f880dc0bfb2777fe185.jpg,530.0,91.0,34.0,46.0,770.0,512.0
334eb4b9f1214372fcda553c1b323d56.jpg,403.0,345.0,35.0,43.0,683.0,512.0
53812488080a3df64ba711104729a80c.jpg,605.0,192.0,19.0,23.0,768.0,512.0
be51d22979ce681abf152d1bebb80d20.jpg,368.0,198.0,17.0,21.0,722.0,480.0
6b2a5b45fa488492e0f25378fa9cb3a9.jpg,359.0,206.0,17.0,23.0,768.0,512.0
52e4969bfd02e394d20928e6fcb8e84c.jpg,169.0,133.0,22.0,26.0,512.0,721.0
3d4fd9b55e77999b649a388d1665569b.jpg,105.0,132.0,20.0,29.0,640.0,480.0
aa2ec0f0fb394e696c739048a48ee6e2.jpg,237.0,292.0,17.0,21.0,683.0,512.0
470d1b8cffa5d789238252f05eb3dbd9.jpg,108.0,174.0,20.0,31.0,683.0,512.0
2b72324140cc84096fbff1830ea02a61.jpg,569.0,124.0,17.0,22.0,737.0,512.0
df6423e2f17114ba798eb54222a61366.jpg,161.0,405.0,33.0,46.0,683.0,512.0
9811716f1c3b62ddffcc7508d7d8506c.jpg,273.0,152.0,33.0,37.0,512.0,609.0
e3778b2ff814413777fc9913da654bac.jpg,44.0,106.0,29.0,37.0,768.0,512.0
81bd45d2cfd6f9d1af558dfd7e34080d.jpg,291.0,622.0,18.0,22.0,512.0,768.0
cb992e630d8a5dee52adb07c620c9c62.jpg,181.0,128.0,52.0,60.0,772.0,512.0
3b5e83771ecf81f09417c79c34aad593.jpg,429.0,172.0,30.0,34.0,512.0,684.0
0b9be87e52c52bc1da5ede3179587c45.jpg,662.0,425.0,17.0,18.0,768.0,512.0
e8a27fa5416315514bd05c10c59d7923.jpg,237.0,182.0,30.0,38.0,683.0,512.0
4cdd7c736ab5619062785edc86599862.jpg,613.0,221.0,19.0,23.0,782.0,512.0
da3c71f29d093d1e63436a857e7f91a2.jpg,141.0,98.0,21.0,26.0,683.0,512.0
253c9232217ce189ff9ff97d0fa70c2b.jpg,604.0,18.0,28.0,36.0,683.0,512.0
fa9a02fcf1fab4d412b932f7b661c910.jpg,83.0,70.0,16.0,22.0,660.0,495.0
6b6bf2395e80d4b41a8f1d1d4586d3ca.jpg,299.0,122.0,35.0,42.0,768.0,512.0
e98446c9725de0b619d7c27c8ad4336d.jpg,216.0,272.0,24.0,30.0,641.0,512.0
ce3f227d7dca368130154459571cea55.jpg,338.0,416.0,19.0,23.0,512.0,683.0
6b3ed9c658768018347703c1903e7bb9.jpg,300.0,204.0,27.0,36.0,768.0,512.0
f77f9bff0470b4c798d6e2dfb0bc5617.jpg,667.0,320.0,26.0,34.0,768.0,512.0
f3407aa1c90d5ab8929089070bbdb6b2.jpg,277.0,100.0,17.0,18.0,768.0,512.0
cef6309f1df99d9d03e090e4634fcda1.jpg,445.0,299.0,26.0,35.0,512.0,683.0
4502e384e6ba67f469a7e5cc2c3b2381.jpg,216.0,369.0,35.0,47.0,683.0,512.0
4a4e63c44a336e28d7927fa01afdf309.jpg,412.0,195.0,24.0,27.0,683.0,512.0
3a2ba91a8bac8d3881f2368ed07cee38.jpg,537.0,120.0,17.0,20.0,768.0,512.0
c7e100daa8694088a0d60bb997c64c26.jpg,165.0,203.0,20.0,32.0,683.0,512.0
0d38684596b09a55df83b688270d9a98.jpg,586.0,192.0,22.0,27.0,766.0,512.0
3d5b00fa8c684feb6d91a5070119e35d.jpg,593.0,353.0,33.0,47.0,768.0,512.0
ee4f76c89a7ff3d4b0787ea1c71a1c39.jpg,138.0,151.0,21.0,30.0,512.0,683.0
543475b7122661a8fbb6e52bde07fda0.jpg,18.0,203.0,27.0,31.0,683.0,512.0
f418bcb1d2a06061a1a2fa2875282b85.jpg,547.0,95.0,43.0,58.0,653.0,512.0
0897fa45b74108ead930d6b23e82e079.jpg,783.0,296.0,17.0,19.0,833.0,512.0
fc0fa4296df5c968881ad56bcd6e0e57.jpg,59.0,364.0,23.0,27.0,512.0,773.0
143c8feed942e6c129f01b5599a052d7.jpg,579.0,159.0,18.0,23.0,683.0,512.0
fface20b9f72f77bc406da9e95c8fc03.jpg,249.0,199.0,45.0,53.0,769.0,512.0
08b15fa45e0936a9bd45a027519a6d86.jpg,107.0,417.0,26.0,34.0,512.0,768.0
9b03efb456db913796027c7aec9ee102.jpg,328.0,20.0,37.0,47.0,683.0,512.0
66ffbf7336a9e84ecea3a0dc6dca1b78.jpg,576.0,119.0,31.0,34.0,683.0,512.0
3ac9907ae84ef81522da68a4ebac6815.jpg,39.0,102.0,21.0,26.0,640.0,480.0
4b98c9a9014181d7a6f21c6b0941628b.jpg,429.0,112.0,57.0,55.0,683.0,512.0
6628245b8d3d785cd52d64c06451ca74.jpg,426.0,18.0,25.0,29.0,550.0,512.0
469a1186ef8cf280f1a0ed651bfcdc46.jpg,430.0,356.0,22.0,31.0,772.0,512.0
1ec5bae381a1ad2934a293b8f1f4f66a.jpg,730.0,277.0,21.0,30.0,770.0,512.0
098371b72ab50f21b986a03c9ca822fd.jpg,449.0,211.0,20.0,22.0,769.0,512.0
67872f8073bfcb3b1ca6bff1c0ef1f10.jpg,40.0,107.0,17.0,24.0,769.0,512.0
293fc7605824b0e5ee9ce5db40c50866.jpg,433.0,152.0,27.0,40.0,512.0,688.0
c71f1a49a35b360631553d02844175e9.jpg,424.0,274.0,30.0,38.0,640.0,480.0
f9fe2a2fdf9ffa4de63333397befb23e.jpg,727.0,150.0,22.0,26.0,765.0,512.0
2ead676720e80a758ee98de7d825d5fd.jpg,61.0,249.0,17.0,22.0,640.0,480.0
e99c6942730ebaedfa9fb348d2e20b3c.jpg,351.0,325.0,21.0,18.0,768.0,512.0
d9e28ff83de0905864ba88de5007df46.jpg,729.0,70.0,21.0,21.0,772.0,512.0
4ea5466cc8e7ff47fa742159d5186a22.jpg,45.0,285.0,46.0,31.0,500.0,832.0
f3495005931fb8a1e781b5a06c18fab6.jpg,647.0,228.0,19.0,24.0,768.0,512.0
15a58ff68e03001832228ffe0e741935.jpg,241.0,74.0,20.0,24.0,599.0,512.0
