Filename,x,y,w,h,W,H
2b0ca28ea3e299f9ded7df38dbfab8ad.png,291,76,36,47,512,512
07e52db5753c98ceea7269f10c823165.png,332,67,43,54,512,512
c63aa5cd5d15f9e17d1593cc9226bb12.png,153,86,35,38,512,512
b43bca02c67d82b25d4994c8c2c735d9.png,391,106,30,35,480,480
9465f2508d4de658da0f84d3e77b7a05.png,457,127,33,43,512,512
517ef8d28cd3b69fa44ed05df1972ebf.png,54,267,51,64,512,512
8403565fb4be8d39232ef88c74674d37.png,382,51,37,44,512,512
69bf8ac3a645f687181abe6b27ff0751.png,103,258,24,34,512,512
a1e0d735843787fcc0a9ddd4ca673532.png,184,66,32,41,512,512
1d0cb5eec8cedfe04aecfc967c6367d0.png,155,35,22,30,512,512
b88e06bf367402e6d8e85ac45a1b6615.png,262,47,24,28,512,512
edd8f3ce259d865b2a067d712c71ceec.png,172,55,43,55,512,512
ec6307ae808b32e2a854a71a4a8e3100.png,460,229,18,21,512,512
48e61c3d96f128d34634ffecd0177c6b.png,396,161,17,19,512,512
b62875fd799e03fb4d647bb1616cd64b.png,52,184,41,45,512,512
fe8725d4233ec1a69cd49afa649c7ffe.png,69,87,45,54,512,512
2118637450ff0c0b0c715462b6b261f4.png,93,316,34,46,512,512
f8cfcd2c1ca2d0a15f9b63afb0c611cc.png,85,185,28,24,480,480
3f6ddd991c07690f1d36130f64e0e740.png,269,46,43,51,512,512
b8838af9d2e04f6511fd9975356e3a75.png,24,180,20,29,512,512
cf9fff6af90cf0fb84e913326aead1e5.png,392,167,36,44,512,512
987327cc5bb330b3fdabfb525874829c.png,441,268,27,33,512,512
f9655efec73db6c43b524e54aee71d13.png,441,79,35,38,512,512
020d3960e392658ea1d51a2e4f47f916.png,127,53,49,50,512,512
c8bc814d3f7264c9fa6c29d880423acd.png,176,50,49,62,512,512
d391298e3666d20ed413f042d75d97e1.png,266,73,35,47,512,512
f4f2d197d031828935653ebb477b9bd0.png,186,18,46,62,512,512
a25164850d248b83f2fd84bcf18ab3d2.png,137,70,40,55,512,512
49c53d5933bf4488eb4354b149c1a250.png,404,314,35,44,512,512
ac1247ea1958b6bf62ed3f65e0033184.png,393,362,23,31,512,512
9441e1393693dd69bac64abfbd5a7112.png,78,206,23,27,512,512
18b102fff11120b7fdb44e799b635755.png,397,199,25,32,512,512
1a46a0b0be5e7612aae5d218cd30cd02.png,169,80,17,23,512,512
7894b57e001913689ee92c14518f61c5.png,139,24,49,63,512,512
10b4e0553f0d88e787e3b7c8b6db1d1e.png,77,212,27,36,512,512
84f85a4195864f951b82ac1e19f99ced.png,94,165,16,23,480,480
ad65b821de20adfeca222517036c9b3a.png,78,210,37,43,512,512
e7d5fc5dbd8a0f10b3e0b9fd8b507864.png,218,23,29,39,512,512
a345fb6d6880b9ab40dde83531e003a2.png,77,95,31,42,512,512
d7586a81dfecfdb14217b0fc7219ef9d.png,224,465,21,31,512,512
1a3a0ea831240098ce069c89db2493a1.png,22,442,54,54,512,512
9a96091a83675d671375a9937aea3cfe.png,101,199,25,30,512,512
d842dd751ed43d10055221592519e0f3.png,281,391,19,22,512,512
78ed9d3e7b7b415b6a0ef631c0fb9828.png,80,172,36,40,512,512
ef0aaaf72494ea448cd664ae07f85098.png,409,266,18,25,512,512
8328354904f69ce90e1199321ec45560.png,398,272,17,23,512,512
526d1b42ff8e0d5a762cc1fb751a1571.png,448,354,32,40,512,512
3e7866baa434d2e3a5dab258b06015d2.png,213,90,23,31,512,512
92548cdb9d92c251bdba9d3c0cf63481.png,32,139,27,32,512,512
102c4a0e49a2bbeeec3499f204e9080f.png,176,40,26,29,290,290
d55d6b4dc135cd2be1fa80976e07e192.png,402,101,46,56,512,512
9d8746c2200eadc409698a2b1426a08c.png,451,300,36,49,512,512
8394cb8cb878d8691d5b7988f035879a.png,141,49,31,43,512,512
08ecb87c787c4996469fcec76a0ab264.png,394,99,40,45,512,512
2b89e4ff21797d4b92d10880ba903a64.png,414,124,17,24,500,500
23d7e3c6985dfb4968b99904dacbee0d.png,56,34,24,31,512,512
f865c98fcf90de0ea3a95af0b65dbb49.png,101,42,47,55,512,512
c739f5153d73acd7f7187c2837154b7e.png,73,150,22,26,512,512
807a39a3a01ad5a51649405340c7651b.png,79,99,36,46,512,512
b554e39e6fc3beaa251d9ea82804f280.png,396,109,33,45,512,512
